algoritmo,nÂº atributos,threads/processos,tempo
b'knn_euclidiano',b'59',b'1',b'351.7912'
b'knn_manhattan',b'59',b'1',b'309.4162'
b'knn_euclidiano',b'154',b'1',b'824.1784'
b'knn_manhattan',b'154',b'1',b'743.7625'
b'knn_euclidiano',b'161',b'1',b'875.9075999999998'
b'knn_manhattan',b'161',b'1',b'775.1815'
b'knn_euclidiano',b'256',b'1',b'1317.4607'
b'knn_manhattan',b'256',b'1',b'1189.6996'
b'knn_pthread_euclidiano',b'59',b'2',b'181.9224'
b'knn_pthread_euclidiano',b'154',b'2',b'424.6009'
b'knn_pthread_euclidiano',b'256',b'2',b'679.3299'
b'knn_pthread_euclidiano',b'59',b'3',b'127.32487'
b'knn_pthread_euclidiano',b'154',b'3',b'294.77609999999993'
b'knn_pthread_euclidiano',b'256',b'3',b'473.579'
b'knn_pthread_euclidiano',b'59',b'4',b'100.33019000000002'
b'knn_pthread_euclidiano',b'154',b'4',b'234.14680000000004'
b'knn_pthread_euclidiano',b'256',b'4',b'375.7175'
b'knn_pthread_euclidiano',b'59',b'5',b'85.30511'
b'knn_pthread_euclidiano',b'154',b'5',b'200.4416'
b'knn_pthread_euclidiano',b'256',b'5',b'320.69160000000005'
b'knn_pthread_euclidiano',b'59',b'6',b'78.1967'
b'knn_pthread_euclidiano',b'154',b'6',b'182.44830000000002'
b'knn_pthread_euclidiano',b'256',b'6',b'292.1271'
b'knn_pthread_euclidiano',b'59',b'7',b'100.62530000000001'
b'knn_pthread_euclidiano',b'154',b'7',b'226.522'
b'knn_pthread_euclidiano',b'256',b'7',b'357.5357'
b'knn_pthread_euclidiano',b'59',b'8',b'89.43592'
b'knn_pthread_euclidiano',b'154',b'8',b'203.93250000000003'
b'knn_pthread_euclidiano',b'256',b'8',b'324.1044'
b'knn_pthread_euclidiano',b'59',b'9',b'79.94166000000001'
b'knn_pthread_euclidiano',b'154',b'9',b'184.0122'
b'knn_pthread_euclidiano',b'256',b'9',b'294.3938'
b'knn_pthread_euclidiano',b'59',b'10',b'72.05922000000001'
b'knn_pthread_euclidiano',b'154',b'10',b'167.17559999999997'
b'knn_pthread_euclidiano',b'256',b'10',b'268.851'
b'knn_pthread_euclidiano',b'59',b'11',b'67.20996'
b'knn_pthread_euclidiano',b'154',b'11',b'156.6601'
b'knn_pthread_euclidiano',b'256',b'11',b'250.4801'
b'knn_pthread_euclidiano',b'59',b'12',b'66.0562'
b'knn_pthread_euclidiano',b'154',b'12',b'152.6103'
b'knn_pthread_euclidiano',b'256',b'12',b'245.1764'
b'knn_pthread_manhattan',b'59',b'2',b'161.00730000000001'
b'knn_pthread_manhattan',b'154',b'2',b'386.92890000000006'
b'knn_pthread_manhattan',b'256',b'2',b'618.3403000000001'
b'knn_pthread_manhattan',b'59',b'3',b'110.03310999999998'
b'knn_pthread_manhattan',b'154',b'3',b'263.4846'
b'knn_pthread_manhattan',b'256',b'3',b'420.8583'
b'knn_pthread_manhattan',b'59',b'4',b'86.49448999999997'
b'knn_pthread_manhattan',b'154',b'4',b'209.6662'
b'knn_pthread_manhattan',b'256',b'4',b'333.8411'
b'knn_pthread_manhattan',b'59',b'5',b'74.60363999999998'
b'knn_pthread_manhattan',b'154',b'5',b'180.249'
b'knn_pthread_manhattan',b'256',b'5',b'288.5176'
b'knn_pthread_manhattan',b'59',b'6',b'69.31295000000001'
b'knn_pthread_manhattan',b'154',b'6',b'163.8225'
b'knn_pthread_manhattan',b'256',b'6',b'262.3342'
b'knn_pthread_manhattan',b'59',b'7',b'87.49716'
b'knn_pthread_manhattan',b'154',b'7',b'194.1726'
b'knn_pthread_manhattan',b'256',b'7',b'305.81579999999997'
b'knn_pthread_manhattan',b'59',b'8',b'77.77453'
b'knn_pthread_manhattan',b'154',b'8',b'175.7651'
b'knn_pthread_manhattan',b'256',b'8',b'277.69860000000006'
b'knn_pthread_manhattan',b'59',b'9',b'69.40404'
b'knn_pthread_manhattan',b'154',b'9',b'157.7279'
b'knn_pthread_manhattan',b'256',b'9',b'251.43469999999996'
b'knn_pthread_manhattan',b'59',b'10',b'61.91505'
b'knn_pthread_manhattan',b'154',b'10',b'142.0405'
b'knn_pthread_manhattan',b'256',b'10',b'226.5912'
b'knn_pthread_manhattan',b'59',b'11',b'57.61203'
b'knn_pthread_manhattan',b'154',b'11',b'132.16653'
b'knn_pthread_manhattan',b'256',b'11',b'210.8533'
b'knn_pthread_manhattan',b'59',b'12',b'56.52088'
b'knn_pthread_manhattan',b'154',b'12',b'130.68216'
b'knn_pthread_manhattan',b'256',b'12',b'207.36280000000002'
b'knn_mpi_euclidiano',b'59',b'2',b'353.8714999999999'
b'knn_mpi_euclidiano',b'161',b'2',b'845.9883000000001'
b'knn_mpi_euclidiano',b'256',b'2',b'1312.1979000000001'
b'knn_mpi_euclidiano',b'59',b'3',b'371.37712'
b'knn_mpi_euclidiano',b'161',b'3',b'883.3268999999998'
b'knn_mpi_euclidiano',b'256',b'3',b'1373.7881'
b'knn_mpi_euclidiano',b'59',b'4',b'396.4632099999999'
b'knn_mpi_euclidiano',b'161',b'4',b'947.9926999999998'
b'knn_mpi_euclidiano',b'256',b'4',b'1459.5862'
b'knn_mpi_euclidiano',b'59',b'5',b'427.86309000000006'
b'knn_mpi_euclidiano',b'161',b'5',b'1025.2830999999999'
b'knn_mpi_euclidiano',b'256',b'5',b'1559.9554000000005'
b'knn_mpi_euclidiano',b'59',b'6',b'538.9362499999999'
b'knn_mpi_euclidiano',b'161',b'6',b'1289.644'
b'knn_mpi_euclidiano',b'256',b'6',b'1961.2724999999998'
b'knn_mpi_euclidiano',b'59',b'7',b'714.2306799999999'
b'knn_mpi_euclidiano',b'161',b'7',b'1768.3657099999998'
b'knn_mpi_euclidiano',b'256',b'7',b'2665.688600000001'
b'knn_mpi_euclidiano',b'59',b'8',b'745.3475899999999'
b'knn_mpi_euclidiano',b'161',b'8',b'1834.7514000000006'
b'knn_mpi_euclidiano',b'256',b'8',b'2834.8648000000003'
b'knn_mpi_euclidiano',b'59',b'9',b'758.1815200000001'
b'knn_mpi_euclidiano',b'161',b'9',b'1866.4422000000004'
b'knn_mpi_euclidiano',b'256',b'9',b'2887.8752'
b'knn_mpi_euclidiano',b'59',b'10',b'770.9053999999999'
b'knn_mpi_euclidiano',b'161',b'10',b'1902.1394999999998'
b'knn_mpi_euclidiano',b'256',b'10',b'2932.7469000000015'
b'knn_mpi_euclidiano',b'59',b'11',b'794.78339'
b'knn_mpi_euclidiano',b'161',b'11',b'1933.1326000000004'
b'knn_mpi_euclidiano',b'256',b'11',b'2990.7487'
b'knn_mpi_euclidiano',b'59',b'12',b'915.6624199999994'
b'knn_mpi_euclidiano',b'161',b'12',b'2150.0644000000007'
b'knn_mpi_euclidiano',b'256',b'12',b'3224.4295000000006'
b'knn_mpi_manhattan',b'59',b'2',b'316.3759'
b'knn_mpi_manhattan',b'161',b'2',b'771.9790000000002'
b'knn_mpi_manhattan',b'256',b'2',b'1192.3739'
b'knn_mpi_manhattan',b'59',b'3',b'330.1638599999999'
b'knn_mpi_manhattan',b'161',b'3',b'809.8917000000001'
b'knn_mpi_manhattan',b'256',b'3',b'1243.8515'
b'knn_mpi_manhattan',b'59',b'4',b'351.7433600000001'
b'knn_mpi_manhattan',b'161',b'4',b'852.4009000000002'
b'knn_mpi_manhattan',b'256',b'4',b'1550.1726000000003'
b'knn_mpi_manhattan',b'59',b'5',b'378.17993'
b'knn_mpi_manhattan',b'161',b'5',b'912.6292999999998'
b'knn_mpi_manhattan',b'256',b'5',b'2113.5294999999996'
b'knn_mpi_manhattan',b'59',b'6',b'452.38868'
b'knn_mpi_manhattan',b'161',b'6',b'1070.2373000000002'
b'knn_mpi_manhattan',b'256',b'6',b'2535.9997999999996'
b'knn_mpi_manhattan',b'59',b'7',b'546.88'
b'knn_mpi_manhattan',b'161',b'7',b'1289.081399999999'
b'knn_mpi_manhattan',b'256',b'7',b'2794.4624999999996'
b'knn_mpi_manhattan',b'59',b'8',b'565.6666099999999'
b'knn_mpi_manhattan',b'161',b'8',b'1336.2839000000004'
b'knn_mpi_manhattan',b'256',b'8',b'2883.9034'
b'knn_mpi_manhattan',b'59',b'9',b'577.6588100000002'
b'knn_mpi_manhattan',b'161',b'9',b'1357.5908000000006'
b'knn_mpi_manhattan',b'256',b'9',b'6575.650200000001'
b'knn_mpi_manhattan',b'59',b'10',b'591.2047399999998'
b'knn_mpi_manhattan',b'161',b'10',b'1382.4776199999992'
b'knn_mpi_manhattan',b'256',b'10',b'8137.725199999997'
b'knn_mpi_manhattan',b'59',b'11',b'613.9018600000004'
b'knn_mpi_manhattan',b'161',b'11',b'1424.2455099999986'
b'knn_mpi_manhattan',b'256',b'11',b'217031.34209999998'
b'knn_mpi_manhattan',b'59',b'12',b'734.00489'
b'knn_mpi_manhattan',b'161',b'12',b'1596.7410300000004'
b'knn_mpi_manhattan',b'256',b'12',b'3188.2353000000003'
